231;264
255;293
248;277
269;300
289;314
315;326
373;302
446;424
489;412
517;415
507;227
554;362
610;328
621;320
612;319
667;267
668;259
713;266
716;262
719;268
711;271
700;286
691;270
658;278
633;290
582;298
570;298
542;330
526;313
476;340
449;327
395;352
391;281
335;367
308;399
324;242
289;306
309;160
232;279
236;295
222;292
209;293
214;296
231;290
230;279
242;288
255;303
264;301
292;320
350;237
328;324
336;363
424;387
524;422
495;332
525;343
572;345
564;265
649;363
658;282
669;288
693;300
686;285
688;292
689;289
686;274
672;299
635;259
613;297
591;310
607;284
543;295
523;328
488;347
456;353
432;328
385;346
363;331
346;261
299;314
289;331
255;293
262;262
254;312
253;298
248;316
245;311
251;305
259;310
272;278
258;323
293;396
309;367
325;337
359;357
378;349
438;394
476;404
478;347
528;355
536;333
565;328
581;337
603;321
653;320
653;304
658;307
676;300
682;305
669;305
674;312
653;317
634;306
568;325
559;357
515;341
508;375
456;349
424;344
396;348
378;349
341;332
379;179
285;309
295;249
291;313
273;313
272;315
265;309
259;318
270;321
276;318
285;322
308;315
313;283
313;346
356;384
378;391
408;332
419;287
445;355
460;361
494;340
534;355
546;317
575;305
620;286
620;322
618;315
634;305
651;307
656;315
653;314
627;316
625;299
617;308
595;345
544;347
533;347
498;354
491;339
468;374
448;376
417;383
373;341
365;388
330;334
317;279
290;316
309;290
273;327
284;332
275;332
288;321
282;328
290;329
308;316
308;331
330;267
325;330
330;354
391;397
412;394
426;367
482;411
478;368
521;379
562;408
520;333
596;333
584;327
611;300
608;301
621;315
623;315
627;322
628;316
617;319
616;324
616;320
586;318
546;330
525;300
493;254
499;401
449;378
430;376
423;391
386;342
382;267
333;335
338;339
333;362
315;332
313;350
305;300
297;331
288;334
296;332
298;337
314;329
337;291
312;319
335;329
347;335
394;344
462;300
458;364
503;297
495;364
518;370
525;346
552;351
573;327
588;328
594;324
613;325
616;327
618;327
619;324
620;333
601;321
599;335
579;334
564;318
546;310
516;315
469;343
456;347
430;361
458;313
409;236
354;355
344;313
362;321
339;338
332;338
328;336
314;338
322;337
325;335
314;341
335;334
331;344
327;338
348;320
342;358
366;345
382;326
408;357
409;363
459;372
463;348
496;376
521;354
533;330
566;316
594;324
588;315
597;325
608;324
610;332
605;327
607;327
598;335
584;310
571;326
574;352
550;332
544;345
518;263
507;348
460;341
400;357
396;337
393;314
367;343
365;333
366;308
330;332
341;351
336;333
319;342
316;344
316;332
312;347
323;335
342;343
364;282
358;349
350;340
359;338
377;372
374;354
434;343
488;419
476;391
489;393
499;337
544;362
556;332
565;335
576;334
575;329
602;333
590;336
595;332
596;328
594;337
581;336
546;326
564;337
538;359
506;341
489;345
463;351
447;343
433;334
431;250
392;313
372;313
386;342
374;312
357;334
332;330
355;340
341;341
331;346
332;341
344;344
348;340
348;339
371;309
376;346
391;333
409;345
432;357
430;316
464;321
471;338
517;349
497;339
534;358
529;338
556;325
572;334
574;331
578;334
599;340
601;334
600;334
593;345
572;346
568;334
553;341
545;346
521;346
515;347
476;358
450;347
434;373
437;367
398;349
410;271
377;356
377;363
359;328
356;350
340;348
343;348
354;345
353;348
355;353
356;352
358;350
347;330
372;345
388;362
399;345
418;353
432;374
437;339
460;332
474;348
486;339
515;352
535;335
531;339
564;352
549;326
566;336
575;341
592;334
591;342
586;344
585;337
577;345
548;348
548;343
538;346
